entity_id,dimension,value,is_primary
156,sector,healthcare,1
156,sector,mental_health,0
156,sector,funding_grants,0
156,region,PEI,1
157,population,general_public,1
157,sector,healthcare,1
157,sector,mental_health,0
157,sector,funding_grants,0
157,region,YT,1
158,population,general_public,1
158,sector,funding_grants,1
158,region,national,1
159,population,general_public,1
159,sector,education,1
159,sector,healthcare,0
159,sector,housing,0
159,sector,funding_grants,0
159,region,national,1
160,population,general_public,1
160,sector,healthcare,1
160,sector,funding_grants,0
160,region,national,1
161,population,general_public,1
161,sector,healthcare,1
161,sector,funding_grants,0
161,sector,language_training,0
161,region,QC,1
162,population,Indigenous,1
162,population,First_Nations,0
162,sector,housing,1
162,region,national,1
163,population,Indigenous,1
163,sector,public_services,1
163,region,national,1
164,population,Indigenous,1
164,sector,public_services,1
164,region,national,1
165,population,Indigenous,1
165,sector,employment,1
165,region,national,1
166,population,Indigenous,1
166,population,First_Nations,0
166,population,Metis,0
166,population,Inuit,0
166,sector,public_services,1
166,region,national,1
167,population,Indigenous,1
167,population,First_Nations,0
167,population,Metis,0
167,population,Inuit,0
167,sector,public_services,1
167,region,national,1
168,population,Indigenous,1
168,population,First_Nations,0
168,population,Metis,0
168,population,Inuit,0
168,sector,public_services,1
168,region,national,1
169,population,Indigenous,1
169,population,First_Nations,0
169,population,Metis,0
169,population,Inuit,0
169,sector,public_services,1
169,region,national,1
170,population,Indigenous,1
170,population,First_Nations,0
170,population,Metis,0
170,population,Inuit,0
170,sector,public_services,1
170,region,national,1
171,population,Indigenous,1
171,population,First_Nations,0
171,population,Metis,0
171,population,Inuit,0
171,sector,public_services,1
171,region,national,1
172,population,seniors,1
172,sector,healthcare,1
172,sector,mental_health,0
172,sector,funding_grants,0
172,region,national,1
173,population,Indigenous,1
173,sector,public_services,1
173,region,national,1
174,population,Indigenous,1
174,population,First_Nations,0
174,population,Inuit,0
174,sector,employment,1
174,sector,funding_grants,0
174,region,national,1
175,population,general_public,1
175,sector,employment,1
175,sector,healthcare,0
175,sector,mental_health,0
175,sector,funding_grants,0
175,region,national,1
176,population,Indigenous,1
176,sector,public_services,1
176,region,national,1
177,population,general_public,1
177,sector,employment,1
177,sector,healthcare,0
177,sector,funding_grants,0
177,region,national,1
178,population,general_public,1
178,sector,employment,1
178,region,national,1
179,population,general_public,1
179,sector,funding_grants,1
179,region,national,1
180,population,Indigenous,1
180,sector,healthcare,1
180,region,national,1
181,population,Indigenous,1
181,population,rural_remote,0
181,sector,employment,1
181,region,national,1
182,population,Indigenous,1
182,sector,funding_grants,1
182,region,national,1
183,population,Indigenous,1
183,population,First_Nations,0
183,population,Metis,0
183,population,Inuit,0
183,sector,public_services,1
183,region,national,1
184,population,Indigenous,1
184,population,First_Nations,0
184,population,Metis,0
184,population,Inuit,0
184,sector,public_services,1
184,region,national,1
185,population,Indigenous,1
185,sector,funding_grants,1
185,sector,language_training,0
185,region,national,1
186,population,Indigenous,1
186,population,First_Nations,0
186,population,Metis,0
186,population,Inuit,0
186,sector,public_services,1
186,region,national,1
187,population,Indigenous,1
187,population,First_Nations,0
187,population,Metis,0
187,population,Inuit,0
187,population,rural_remote,0
187,sector,skills_training,1
187,sector,education,0
187,sector,healthcare,0
187,sector,funding_grants,0
187,region,national,1
188,population,Indigenous,1
188,sector,employment,1
188,region,national,1
189,population,Indigenous,1
189,sector,public_services,1
189,region,national,1
190,population,Indigenous,1
190,population,youth,0
190,sector,public_services,1
190,region,national,1
191,population,general_public,1
191,sector,healthcare,1
191,sector,funding_grants,0
191,region,national,1
192,population,general_public,1
192,sector,healthcare,1
192,sector,mental_health,0
192,sector,funding_grants,0
192,region,NT,1
193,population,general_public,1
193,sector,employment,1
193,region,national,1
194,population,general_public,1
194,sector,healthcare,1
194,sector,mental_health,0
194,sector,funding_grants,0
194,region,BC,1
195,population,youth,1
195,sector,employment,1
195,sector,healthcare,0
195,sector,housing,0
195,region,national,1
196,population,Indigenous,1
196,sector,employment,1
196,region,national,1
197,population,Indigenous,1
197,sector,public_services,1
197,region,national,1
198,population,general_public,1
198,sector,healthcare,1
198,sector,mental_health,0
198,sector,funding_grants,0
198,region,PEI,1
199,population,general_public,1
199,sector,healthcare,1
199,sector,mental_health,0
199,region,YT,1
200,population,Indigenous,1
200,population,First_Nations,0
200,sector,housing,1
200,region,national,1
201,population,youth,1
201,sector,healthcare,1
201,sector,housing,0
201,sector,funding_grants,0
201,region,national,1
202,population,Indigenous,1
202,population,First_Nations,0
202,population,Metis,0
202,population,Inuit,0
202,sector,employment,1
202,sector,language_training,0
202,region,national,1
203,population,Indigenous,1
203,population,First_Nations,0
203,population,Inuit,0
203,sector,employment,1
203,region,national,1
204,population,Indigenous,1
204,sector,employment,1
204,sector,housing,0
204,region,national,1
205,population,Indigenous,1
205,population,rural_remote,0
205,sector,employment,1
205,sector,funding_grants,0
205,region,national,1
206,population,Indigenous,1
206,sector,public_services,1
206,region,QC,1
207,population,Indigenous,1
207,population,rural_remote,0
207,sector,public_services,1
207,region,national,1
208,population,Indigenous,1
208,sector,employment,1
208,region,national,1
209,population,Indigenous,1
209,sector,employment,1
209,region,national,1
210,population,Indigenous,1
210,sector,public_services,1
210,region,national,1
211,population,general_public,1
211,sector,funding_grants,1
211,region,ON,1
212,population,Indigenous,1
212,sector,employment,1
212,region,national,1
213,population,general_public,1
213,sector,funding_grants,1
213,region,national,1
214,population,general_public,1
214,sector,public_services,1
214,region,national,1
215,population,general_public,1
215,sector,healthcare,1
215,sector,housing,0
215,sector,funding_grants,0
215,region,national,1
216,population,Indigenous,1
216,population,newcomers,0
216,sector,funding_grants,1
216,sector,immigration_settlement,0
216,region,national,1
217,population,general_public,1
217,sector,healthcare,1
217,sector,mental_health,0
217,sector,funding_grants,0
217,region,national,1
218,population,Indigenous,1
218,sector,public_services,1
218,region,national,1
219,population,Indigenous,1
219,sector,public_services,1
219,region,national,1
220,population,Indigenous,1
220,sector,employment,1
220,region,national,1
221,population,Indigenous,1
221,sector,employment,1
221,sector,healthcare,0
221,region,national,1
222,population,general_public,1
222,sector,education,1
222,sector,funding_grants,0
222,region,national,1
223,population,youth,1
223,population,rural_remote,0
223,sector,housing,1
223,sector,funding_grants,0
223,region,national,1
224,population,general_public,1
224,sector,healthcare,1
224,region,national,1
225,population,general_public,1
225,sector,public_services,1
225,region,national,1
226,population,general_public,1
226,sector,healthcare,1
226,region,national,1
227,population,Indigenous,1
227,sector,public_services,1
227,region,national,1
228,population,women,1
228,sector,public_services,1
228,region,national,1
229,population,disabilities,1
229,sector,education,1
229,region,national,1
230,population,Indigenous,1
230,population,disabilities,0
230,sector,employment,1
230,sector,housing,0
230,sector,language_training,0
230,region,national,1
231,population,general_public,1
231,sector,employment,1
231,sector,funding_grants,0
231,region,national,1
232,population,Inuit,1
232,sector,healthcare,1
232,region,NU,1
233,population,general_public,1
233,sector,healthcare,1
233,region,national,1
234,population,general_public,1
234,sector,healthcare,1
234,region,YT,1
